featureID	geneID	countbinID	testable	status	allZero	baseMean	baseVar	dispBeforeSharing	dispFitted	dispersion	pvalue	padjust	chr	start	end	strand	transcripts	featureType	padjust_noFilter	log2FC(CTRL/CASE)	log2FCvst(CTRL/CASE)	expr_CASE	expr_CTRL	geneWisePadj
ENSRNOG00000002210:E001	ENSRNOG00000002210	E001	TRUE	OK	FALSE	284.236991306059	4591.50454337082	0.00306194763931674	0.0032837091599334	0.00308532977728832	0.0013502188888558	0.179276724325893	chr14	7073444	7073708	+	ENSRNOT00000003004	exonic_part	0.196697515737277	0.391609025326218	0.195789176545512	237.404139099863	332.619915680032	0.0188564613444983
ENSRNOG00000002210:E002	ENSRNOG00000002210	E002	TRUE	OK	FALSE	191.674386904057	2618.5200871058	0.000745645183977959	0.00368335813478196	0.00115229399903154	1.82025482048054e-05	0.009928053002442	chr14	7076684	7076792	+	ENSRNOT00000003004	exonic_part	0.0108927880572967	0.461315149924277	0.230645773857695	155.496960773341	229.923854193726	0.0188564613444983
ENSRNOG00000002210:E003	ENSRNOG00000002210	E003	TRUE	OK	FALSE	175.711356257161	1492.31139077791	1.52124117833003e-05	0.00379484899119857	0.000536939266708828	0.00138092293787203	0.179276724325893	chr14	7084620	7084752	+	ENSRNOT00000003004	exonic_part	0.196697515737277	0.324994723517969	0.162489744505556	149.950368969596	203.241311676091	0.0188564613444983
ENSRNOG00000002210:E004	ENSRNOG00000002210	E004	TRUE	OK	FALSE	113.874432196992	429.028980566339	0.00273526717825297	0.00452180752780022	0.00296911645615391	0.652252323265325	0.98177917503939	chr14	7085906	7086013	+	ENSRNOT00000003004	exonic_part	1	0.0725412838716699	0.0362695533789507	106.533839491665	122.247382438245	0.0188564613444983
ENSRNOG00000002210:E005	ENSRNOG00000002210	E005	TRUE	OK	FALSE	493.922159130812	4450.41035852663	0.000730160264616238	0.00293237820083634	0.000957315866557858	0.95964415221217	1	chr14	7092340	7092478	+	ENSRNOT00000003004	exonic_part	1	-0.000619126258983715	-0.000309517323666677	473.26570543987	517.858951862386	0.0188564613444983
ENSRNOG00000002210:E006	ENSRNOG00000002210	E006	TRUE	OK	FALSE	614.233393812766	7528.14582940124	0.00137751982176664	0.00283909529483609	0.00152069069083002	0.605181666842504	0.980399760581447	chr14	7102064	7102181	+	ENSRNOT00000003004	exonic_part	1	-0.0451999595021914	-0.022595635935429	595.480950499842	635.056702228895	0.0188564613444983
ENSRNOG00000002210:E007	ENSRNOG00000002210	E007	TRUE	OK	FALSE	2361.79310572381	70837.2194279587	0.00105566918657293	0.00255573136471596	0.00118135056315789	0.0010416365091051	0.15420684491223	chr14	7103838	7104566	+	ENSRNOT00000003004	exonic_part	0.169191530121785	-0.247975873678971	-0.123718244460384	2312.27973169839	2414.42415324704	0.0188564613444983
ENSRNOG00000002210:J008	ENSRNOG00000002210	J008	TRUE	OK	FALSE	115.043761800279	1646.04520538742	0.00596177648807765	0.00564540390379248	0.00592946305890884	0.000259159464967501	0.0708479238117869	chr14	7073708	7076684	+	ENSRNOT00000003004	splice_site	0.077732403140019	0.651126485115364	0.325553592604049	85.9663059201705	145.251569644528	0.0188564613444983
ENSRNOG00000002210:J009	ENSRNOG00000002210	J009	TRUE	OK	FALSE	100.960167342769	631.742055882079	6.642931343261e-05	0.00587789918104977	0.000973804219086585	0.0183584713875969	0.518389207056314	chr14	7076792	7084620	+	ENSRNOT00000003004	splice_site	0.568762451435905	0.31747365009246	0.158732646572043	86.2460339548342	116.79673460644	0.0188564613444983
ENSRNOG00000002210:J010	ENSRNOG00000002210	J010	TRUE	OK	FALSE	62.7195354589952	180.269833628933	0.00924118939136085	0.00703583883187359	0.00896883503922951	0.583405809306899	0.973721114808728	chr14	7084752	7085906	+	ENSRNOT00000003004	splice_site	1	0.120846235937047	0.0604221373657457	57.561613419251	68.2734734698756	0.0188564613444983
ENSRNOG00000002210:J011	ENSRNOG00000002210	J011	TRUE	OK	FALSE	50.0011368326895	78.066067484515	6.43962800957978e-05	0.00781345177647957	0.00140007351055555	0.849331054140706	0.993583362879416	chr14	7086013	7092340	+	ENSRNOT00000003004	splice_site	1	0.0431703153270489	0.0215848780708276	47.3651236036077	53.3452130809023	0.0188564613444983
ENSRNOG00000002210:J012	ENSRNOG00000002210	J012	TRUE	OK	FALSE	231.234351641624	1334.28194786436	0.000639154412425728	0.0048079338426996	0.00107049356570682	0.0665650123409553	0.768837861637375	chr14	7092478	7102064	+	ENSRNOT00000003004	splice_site	0.828308420675788	0.184039404981041	0.0920138973821042	208.074621998405	256.321353149839	0.0188564613444983
ENSRNOG00000002210:J013	ENSRNOG00000002210	J013	TRUE	OK	FALSE	365.88761160147	4114.35220706585	0.00784050105571489	0.00450277175661264	0.00754226441559695	0.153456004700039	0.867827416981709	chr14	7102181	7103838	+	ENSRNOT00000003004	splice_site	0.925693831657356	-0.24483227051634	-0.122403309802133	377.448066132009	354.699185172931	0.0188564613444983
ENSRNOG00000002210:N014	ENSRNOG00000002210	N014	TRUE	OK	FALSE	7.75510594275522	25.2321480928052	0.174309482773461	0.0287031448446952	0.152679736768663	0.520321301146311	0.96873975270208	chr14	7092478	7102069	+	UNKNOWN_TX	novel_splice_site	0.999684137334162	-0.245759132843032	-0.122879320744777	8.174692615942	7.53301464667646	0.0188564613444983
ENSRNOG00000002210:N015	ENSRNOG00000002210	N015	TRUE	OK	FALSE	13.9327124070456	14.2736163972963	0.000336846807370699	0.0177406199814865	0.0042692905570635	0.880476555751934	0.995048657431608	chr14	7102181	7104051	+	UNKNOWN_TX	novel_splice_site	1	0.0578878321890888	0.0289438132593421	13.0697332640616	14.8625348505328	0.0188564613444983
